id_cliente,edad,genero
C001,80,M
C002,75,F
C003,60,F
C004,75,F
C005,68,F
C006,58,F
C007,55,M
C008,36,F
C009,21,F
C010,34,M
C011,32,F
C012,35,M
C013,71,F
C014,66,M
C015,35,M
C016,59,M
C017,30,M
C018,48,F
C019,35,M
C020,34,M
C021,49,F
C022,82,M
C023,56,M
C024,40,M
C025,84,F
C026,80,F
C027,45,M
C028,80,M
C029,66,F
C030,55,F
C031,39,F
C032,61,M
C033,58,F
C034,61,F
C035,26,F
C036,46,F
C037,48,F
C038,43,M
C039,80,F
C040,59,F
C041,22,F
C042,46,F
C043,27,F
C044,40,M
C045,21,F
C046,70,M
C047,48,M
C048,48,F
C049,20,F
C050,31,F
C051,70,F
C052,66,M
C053,60,M
C054,58,M
C055,50,F
C056,76,F
C057,63,M
C058,68,M
C059,62,F
C060,81,F
C061,36,F
C062,55,F
C063,33,F
C064,24,M
C065,27,M
C066,18,M
C067,32,F
C068,22,M
C069,60,F
C070,62,M
C071,56,M
C072,27,M
C073,34,F
C074,57,M
C075,57,F
C076,29,M
C077,39,F
C078,66,M
C079,76,F
C080,21,F
C081,35,F
C082,68,F
C083,38,F
C084,79,M
C085,34,M
C086,22,M
C087,37,F
C088,53,M
C089,53,M
C090,29,F
C091,72,M
C092,37,F
C093,79,M
C094,54,M
C095,48,M
C096,50,M
C097,31,F
C098,49,M
C099,56,F
C100,77,F
C101,38,F
C102,18,M
C103,43,F
C104,77,M
C105,48,F
C106,77,M
C107,81,M
C108,47,M
C109,37,F
C110,18,F
C111,60,F
C112,75,M
C113,20,M
C114,76,M
C115,28,F
C116,50,F
C117,34,F
C118,81,F
C119,60,F
C120,56,F
C121,25,M
C122,56,M
C123,66,F
C124,45,F
C125,82,F
C126,27,F
C127,70,M
C128,75,M
C129,41,F
C130,37,M
C131,48,F
C132,46,F
C133,39,M
C134,64,M
C135,63,M
C136,38,F
C137,51,M
C138,30,M
C139,84,F
C140,49,M
C141,73,F
C142,33,F
C143,56,F
C144,67,M
C145,20,M
C146,23,M
C147,47,M
C148,37,F
C149,33,M
C150,74,F
C151,44,M
C152,26,M
C153,50,F
C154,32,F
C155,55,F
C156,80,F
C157,32,F
C158,75,M
C159,52,F
C160,68,M
C161,32,M
C162,70,M
C163,28,F
C164,41,F
C165,46,M
C166,28,F
C167,29,F
C168,52,F
C169,29,M
C170,54,M
C171,81,F
C172,78,F
C173,68,F
C174,77,F
C175,52,F
C176,34,F
C177,36,F
C178,72,M
C179,78,F
C180,34,F
C181,56,F
C182,34,M
C183,37,F
C184,68,M
C185,26,M
C186,44,M
C187,46,M
C188,19,F
C189,20,M
C190,78,F
C191,31,F
C192,43,F
C193,58,M
C194,55,F
C195,56,F
C196,20,M
C197,74,F
C198,76,M
C199,58,F
C200,56,M
C201,41,M
C202,57,M
C203,56,M
C204,44,F
C205,23,F
C206,30,F
C207,18,F
C208,18,M
C209,44,F
C210,23,F
C211,19,F
C212,46,M
C213,21,M
C214,24,M
C215,72,M
C216,28,F
C217,75,M
C218,22,M
C219,83,F
C220,61,M
C221,60,F
C222,36,F
C223,50,F
C224,65,M
C225,65,M
C226,35,F
C227,36,F
C228,20,F
C229,59,F
C230,69,F
C231,54,M
C232,46,F
C233,73,M
C234,24,M
C235,38,F
C236,66,M
C237,76,F
C238,41,M
C239,72,M
C240,39,M
C241,37,F
C242,72,F
C243,43,F
C244,32,F
C245,56,F
C246,40,M
C247,65,F
C248,64,M
C249,23,M
C250,34,M
C251,38,M
C252,27,M
C253,55,M
C254,24,M
C255,71,M
C256,31,F
C257,28,M
C258,51,M
C259,18,M
C260,72,M
C261,54,F
C262,84,M
C263,23,F
C264,35,F
C265,69,F
C266,31,F
C267,25,F
C268,44,M
C269,56,M
C270,27,M
C271,56,M
C272,76,F
C273,40,M
C274,72,F
C275,58,M
C276,65,F
C277,20,M
C278,41,F
C279,49,F
C280,74,M
C281,22,M
C282,77,M
C283,48,M
C284,22,F
C285,55,M
C286,84,F
C287,53,M
C288,75,M
C289,18,M
C290,25,M
C291,47,M
C292,25,M
C293,30,M
C294,83,F
C295,57,M
C296,57,F
C297,57,M
C298,75,M
C299,42,F
C300,59,F
