id_cliente,fecha_compra,monto,canal,medio_pago
C213,2024-07-01,180,Online,Efectivo
C274,2024-07-01,120,Tienda Física,Efectivo
C165,2024-07-01,200,Online,Tarjeta Débito
C017,2024-07-01,30,Tienda Física,Efectivo
C148,2024-07-02,160,Tienda Física,Tarjeta Débito
C268,2024-07-02,30,Tienda Física,Efectivo
C191,2024-07-02,50,Tienda Física,Efectivo
C207,2024-07-02,50,Tienda Física,Efectivo
C170,2024-07-03,60,Online,Efectivo
C267,2024-07-03,10,Tienda Física,Efectivo
C200,2024-07-03,40,Tienda Física,Efectivo
C056,2024-07-03,120,Online,Tarjeta Débito
C026,2024-07-04,100,App,Efectivo
C259,2024-07-04,140,Tienda Física,Tarjeta Crédito
C145,2024-07-04,10,Tienda Física,Efectivo
C260,2024-07-05,100,App,Efectivo
C275,2024-07-05,200,Online,Tarjeta Débito
C274,2024-07-05,140,Online,Efectivo
C213,2024-07-05,200,Tienda Física,Tarjeta Crédito
C220,2024-07-05,60,Tienda Física,Efectivo
C100,2024-07-06,140,Tienda Física,Tarjeta Débito
C051,2024-07-06,140,Online,Tarjeta Crédito
C262,2024-07-06,100,App,Tarjeta Crédito
C159,2024-07-07,60,Online,Tarjeta Crédito
C141,2024-07-07,120,App,Tarjeta Crédito
C133,2024-07-07,10,Tienda Física,Efectivo
C198,2024-07-07,120,Online,Tarjeta Débito
C285,2024-07-07,40,Tienda Física,Efectivo
C220,2024-07-08,30,Tienda Física,Efectivo
C240,2024-07-08,120,App,Tarjeta Crédito
C074,2024-07-08,40,Tienda Física,Efectivo
C170,2024-07-09,40,Tienda Física,Efectivo
C033,2024-07-09,50,Tienda Física,Efectivo
C022,2024-07-10,20,Tienda Física,Efectivo
C033,2024-07-10,50,Tienda Física,Efectivo
C014,2024-07-10,200,Online,Tarjeta Crédito
C020,2024-07-10,160,App,Tarjeta Crédito
C279,2024-07-10,160,Tienda Física,Tarjeta Débito
C159,2024-07-10,50,Tienda Física,Efectivo
C189,2024-07-10,120,Online,Efectivo
C152,2024-07-11,160,App,Tarjeta Crédito
C064,2024-07-11,120,Tienda Física,Tarjeta Débito
C279,2024-07-11,160,Tienda Física,Tarjeta Crédito
C022,2024-07-11,30,Tienda Física,Efectivo
C002,2024-07-11,100,App,Efectivo
C070,2024-07-12,120,App,Tarjeta Crédito
C185,2024-07-12,30,Tienda Física,Efectivo
C226,2024-07-12,20,Tienda Física,Efectivo
C095,2024-07-12,40,Tienda Física,Efectivo
C171,2024-07-12,120,Tienda Física,Efectivo
C151,2024-07-12,180,Online,Tarjeta Débito
C082,2024-07-13,50,Tienda Física,Efectivo
C209,2024-07-13,60,Tienda Física,Efectivo
C215,2024-07-13,30,Tienda Física,Efectivo
C004,2024-07-13,20,Tienda Física,Efectivo
C148,2024-07-13,100,App,Tarjeta Crédito
C064,2024-07-13,100,App,Tarjeta Crédito
C105,2024-07-13,200,Online,Tarjeta Crédito
C118,2024-07-13,120,Tienda Física,Tarjeta Débito
C245,2024-07-14,200,Tienda Física,Tarjeta Crédito
C052,2024-07-14,160,Online,Tarjeta Débito
C074,2024-07-14,40,Tienda Física,Efectivo
C218,2024-07-14,40,Tienda Física,Efectivo
C170,2024-07-14,40,Tienda Física,Efectivo
C239,2024-07-14,120,Online,Tarjeta Crédito
C064,2024-07-15,180,App,Tarjeta Crédito
C026,2024-07-15,120,App,Efectivo
C189,2024-07-16,200,Online,Tarjeta Crédito
C079,2024-07-16,30,Tienda Física,Efectivo
C012,2024-07-16,40,Tienda Física,Efectivo
C165,2024-07-16,180,Online,Tarjeta Crédito
C081,2024-07-17,60,Tienda Física,Efectivo
C275,2024-07-17,200,Online,Tarjeta Débito
C263,2024-07-17,50,Tienda Física,Efectivo
C032,2024-07-17,160,App,Tarjeta Débito
C215,2024-07-17,10,Tienda Física,Efectivo
C164,2024-07-17,30,Tienda Física,Efectivo
C189,2024-07-17,140,Tienda Física,Tarjeta Crédito
C014,2024-07-18,160,App,Efectivo
C278,2024-07-18,10,Tienda Física,Efectivo
C068,2024-07-18,40,Tienda Física,Efectivo
C036,2024-07-18,200,Online,Tarjeta Crédito
C189,2024-07-18,200,Online,Tarjeta Crédito
C258,2024-07-18,160,Online,Tarjeta Débito
C213,2024-07-19,140,App,Efectivo
C168,2024-07-19,160,Online,Tarjeta Débito
C145,2024-07-20,30,Tienda Física,Efectivo
C089,2024-07-20,160,App,Tarjeta Débito
C148,2024-07-20,100,App,Tarjeta Débito
C022,2024-07-20,30,Tienda Física,Efectivo
C289,2024-07-20,140,Online,Efectivo
C068,2024-07-21,50,Tienda Física,Efectivo
C145,2024-07-21,10,Tienda Física,Efectivo
C185,2024-07-21,40,Tienda Física,Efectivo
C027,2024-07-21,180,Online,Tarjeta Crédito
C074,2024-07-21,60,Tienda Física,Tarjeta Crédito
C026,2024-07-21,140,Online,Efectivo
C207,2024-07-21,50,Tienda Física,Efectivo
C216,2024-07-21,120,Tienda Física,Tarjeta Crédito
C194,2024-07-22,180,Tienda Física,Tarjeta Débito
C189,2024-07-22,160,Tienda Física,Tarjeta Crédito
C184,2024-07-22,180,Online,Efectivo
C193,2024-07-22,160,Tienda Física,Tarjeta Crédito
C247,2024-07-22,120,Online,Tarjeta Débito
C205,2024-07-24,30,Tienda Física,Efectivo
C135,2024-07-25,20,Tienda Física,Efectivo
C116,2024-07-25,200,Online,Tarjeta Débito
C004,2024-07-25,30,Tienda Física,Efectivo
C068,2024-07-25,10,Tienda Física,Efectivo
C213,2024-07-26,140,Online,Tarjeta Crédito
C194,2024-07-26,180,App,Tarjeta Crédito
C152,2024-07-26,120,Tienda Física,Efectivo
C207,2024-07-26,30,Tienda Física,Efectivo
C022,2024-07-26,10,Tienda Física,Efectivo
C100,2024-07-27,120,Tienda Física,Tarjeta Crédito
C002,2024-07-28,100,Online,Tarjeta Crédito
C184,2024-07-29,120,App,Tarjeta Crédito
C262,2024-07-29,140,App,Tarjeta Débito
C232,2024-07-29,40,Tienda Física,Efectivo
C095,2024-07-29,50,Tienda Física,Efectivo
C084,2024-07-29,30,Tienda Física,Efectivo
C193,2024-07-30,160,App,Tarjeta Crédito
C076,2024-07-30,160,Online,Tarjeta Débito
C258,2024-07-31,200,Tienda Física,Tarjeta Débito
C066,2024-07-31,180,Online,Efectivo
C110,2024-07-31,30,Tienda Física,Efectivo
C225,2024-07-31,180,App,Tarjeta Débito
C025,2024-07-31,120,Tienda Física,Tarjeta Débito
C076,2024-08-01,140,Tienda Física,Tarjeta Crédito
C014,2024-08-01,140,Online,Tarjeta Débito
C128,2024-08-01,30,Tienda Física,Efectivo
C185,2024-08-01,20,Tienda Física,Efectivo
C031,2024-08-01,200,Tienda Física,Tarjeta Crédito
C066,2024-08-02,200,Online,Tarjeta Crédito
C159,2024-08-02,40,Tienda Física,Efectivo
C084,2024-08-03,10,Tienda Física,Efectivo
C129,2024-08-03,160,Tienda Física,Efectivo
C002,2024-08-03,140,Online,Efectivo
C240,2024-08-03,120,Tienda Física,Tarjeta Débito
C275,2024-08-05,160,App,Efectivo
C285,2024-08-05,60,App,Tarjeta Crédito
C076,2024-08-05,180,Tienda Física,Efectivo
C081,2024-08-05,40,Tienda Física,Efectivo
C066,2024-08-06,180,Tienda Física,Efectivo
C262,2024-08-07,120,App,Efectivo
C010,2024-08-07,40,Tienda Física,Efectivo
C232,2024-08-07,60,Online,Tarjeta Crédito
C082,2024-08-08,30,Tienda Física,Efectivo
C292,2024-08-08,60,App,Efectivo
C011,2024-08-08,140,App,Efectivo
C005,2024-08-08,200,Online,Tarjeta Crédito
C239,2024-08-09,140,Online,Tarjeta Crédito
C194,2024-08-09,200,Tienda Física,Tarjeta Crédito
C292,2024-08-09,10,Tienda Física,Efectivo
C205,2024-08-09,10,Tienda Física,Efectivo
C262,2024-08-09,120,Tienda Física,Efectivo
C217,2024-08-09,20,Tienda Física,Efectivo
C012,2024-08-09,10,Tienda Física,Efectivo
C267,2024-08-10,40,Tienda Física,Efectivo
C017,2024-08-10,30,Tienda Física,Efectivo
C031,2024-08-10,160,Tienda Física,Tarjeta Crédito
C095,2024-08-11,50,Tienda Física,Efectivo
C005,2024-08-12,160,App,Tarjeta Crédito
C126,2024-08-12,180,Tienda Física,Tarjeta Débito
C021,2024-08-12,160,Tienda Física,Efectivo
C247,2024-08-12,200,Tienda Física,Tarjeta Crédito
C240,2024-08-12,200,Online,Tarjeta Crédito
C079,2024-08-12,10,Tienda Física,Efectivo
C232,2024-08-12,40,Tienda Física,Efectivo
C118,2024-08-13,140,App,Tarjeta Crédito
C135,2024-08-13,40,Tienda Física,Efectivo
C247,2024-08-13,140,Tienda Física,Efectivo
C051,2024-08-13,200,Online,Tarjeta Débito
C176,2024-08-13,100,Tienda Física,Tarjeta Débito
C292,2024-08-13,30,Tienda Física,Efectivo
C110,2024-08-13,40,Tienda Física,Efectivo
C027,2024-08-14,180,Tienda Física,Tarjeta Débito
C209,2024-08-14,20,Tienda Física,Efectivo
C225,2024-08-14,120,Tienda Física,Efectivo
C084,2024-08-14,10,Tienda Física,Efectivo
C120,2024-08-14,160,Tienda Física,Tarjeta Crédito
C204,2024-08-15,120,Tienda Física,Tarjeta Débito
C260,2024-08-15,100,Tienda Física,Tarjeta Débito
C135,2024-08-15,60,Tienda Física,Tarjeta Débito
C051,2024-08-15,120,Online,Tarjeta Débito
C164,2024-08-15,20,Tienda Física,Efectivo
C152,2024-08-15,200,Tienda Física,Tarjeta Crédito
C165,2024-08-16,160,App,Efectivo
C185,2024-08-16,60,Online,Efectivo
C194,2024-08-16,200,Tienda Física,Tarjeta Crédito
C117,2024-08-16,50,Tienda Física,Efectivo
C204,2024-08-16,180,Tienda Física,Tarjeta Débito
C082,2024-08-16,30,Tienda Física,Efectivo
C128,2024-08-16,20,Tienda Física,Efectivo
C019,2024-08-16,200,Online,Tarjeta Crédito
C194,2024-08-16,180,App,Tarjeta Débito
C019,2024-08-16,140,Tienda Física,Efectivo
C004,2024-08-17,10,Tienda Física,Efectivo
C042,2024-08-17,160,Tienda Física,Efectivo
